German,English
forderung,financial support
rouge,rouge
officers,officers
trainiere,train
fehlende,missing
hallöchen,Hello there
eingetreten,entered
lordschaft,lordship
russ,soot
erlitt,suffered
arnie,Arnie
gamera,gamera
gekonnt,skillfully
maestro,maestro
eigenschaft,characteristic
weigerte,refused
cheese,cheese
planst,plans
erfand,invented
jorge,Jorge
stalker,stalker
amerikanern,Americans
platzieren,place
angenehmen,pleasant
reaktor,reactor
großbritannien,Great Britain
flanke,flank
gatten,husband
kapuze,hood
mitzukommen,to come along
vorlesung,lecture
kommenden,upcoming
kurse,courses
gänsehaut,goose flesh
lächelst,smile
stecker,plug
lutschen,suck
mülleimer,trash can
kes,kes
manchester,Manchester
reife,ripe
verschickt,sent
höchster,highest
zugenommen,increased
hälst,hold
board,board
rückendeckung,backing
verheiratete,married
unterschiede,differences
gefrühstückt,ate breakfast
inakzeptabel,unacceptable
außergewöhnliches,extraordinary
room,room
wanna,wanna
toi,toi
sekt,sparkling wine
verzaubert,enchanted
st,st
millie,millie
downtown,downtown
erhängt,hanged
stillgestanden,stood still
grimes,Grimes
begreift,understands
hörner,horns
umgekommen,died
circa,approximately
ehrlichen,honest
gesetzen,laws
leser,reader
kritisieren,criticize
kritiker,critic
boyle,boyle
rudern,rowing
offenbarung,revelation
geklopft,knocked
faulen,lazy
yacht,yacht
benson,Benson
sausen,zoom
grundschule,elementary school
zeitschriften,magazines
fördern,support financially
logo,logo
speicher,memory
rohre,tube
schwitzt,sweats
todesurteil,death sentence
hinterlasse,leave
wright,Wright
philly,Philly
ansage,announcement
net,net
juice,juice
swan,swan
schriften,writings
krokodil,crocodile
roller,roller
hologramm,hologram
plündern,plunder
klicken,click
überspringen,skip
beschleunigt,accelerated
sags,say it
zufriedenheit,satisfaction
herzanfall,heart attack
einschüchtern,intimidate
wohnten,lived
verblüffend,astonishing
behinderung,disability
springs,springs
strümpfe,stockings
eineinhalb,one and a half
lennox,lennox
kindchen,little one
schäm,shame
durchschnitt,average
verstopft,clogged
fehlern,errors
uber,above
gewundert,wondered
hoden,testicles
wesentliche,essential
vorgeben,specify
krankes,sick
angekündigt,announced
gringo,gringo
geistigen,spiritual
entschärfen,defuse
unters,under
bäcker,baker
muscheln,shells
wundervolles,wonderful
gekidnappt,kidnapped
streichholz,match
callahan,callahan
nico,Nico
besorgst,get
fläschchen,bottle
schlappschwanz,limp tail
giles,Giles
rücksichtslos,reckless
brachen,broke
seile,ropes
konferenzraum,conference room
französischer,French
jackett,jacket
sportler,sportsman
siedlung,settlement
rinder,bovine
rotwein,red wine
notieren,note
herzchen,heart
dummköpfe,idiots
löscht,deletes
nördlichen,northern
tiffany,tiffany
homeland,homeland
verfluchtes,cursed
hallelujah,Hallelujah
lockhart,Lockhart
logbuch,logbook
lexie,Lexie
geborene,born
memo,memo
wohlauf,well
erwürgen,strangle
anstrengung,effort
centauri,centauri
zweieinhalb,two and a half
verschrieben,prescribed
flöte,flute
enzo,Enzo
four,the
geschlossenen,closed
burton,Burton
orlando,Orlando
zurückzugeben,to return
gießen,pour
fährte,track
hinab,down
kinderzimmer,nursery
trey,trey
nat,nat
ã,ã
brewster,brewster
darren,darren
mutige,courageous
franks,Franks
schreiend,screaming
alpträume,nightmares
verlängern,extend
fallenlassen,drop
face,face
angefordert,requested
coop,coop
glückwünsche,congratulations
makler,broker
straßenseite,street side
freundlichen,friendly
offenes,open
lucie,Lucie
reisenden,travelers
lindern,alleviate
konsulat,consulate
great,great
yi,yi
genesung,recovery
reisende,travelers
sperre,lock
wider,against
adel,nobility
vorliebe,preference
wagens,wagens
lucrezia,Lucrezia
geoff,Geoff
trab,trot
herkommst,where you come from
milde,mild
abendbrot,supper
glücksspiel,gambling
konrad,Konrad
prioritäten,priorities
steckten,stuck
lokalen,local
knaben,boys
medikamenten,medication
sierra,Sierra
sicheres,safe
kleidern,clothes
interessierte,interested
durchgebrannt,burned out
erholung,recreation
zurücknehmen,withdraw
ausreichen,sufficient
endlos,endless
pipi,pee
verhungere,starve
verhext,bewitched
moms,moms
bestochen,bribed
mckay,McKay
maddy,maddy
verstoß,violation
aufgetragen,applied
bedeutest,means
neigen,tend
sanders,sanders
vierzig,forty
malibu,Malibu
wegzulaufen,to run away
matrix,matrix
heiratsantrag,marriage proposal
lagerraum,storage room
kentucky,Kentucky
gecheckt,checked
zahlte,paid
gestapo,Gestapo
zürich,Zurich
willis,Willis
pepper,pepper
nixon,nixon
interessierst,Are you interested?
antike,antique
unmittelbar,directly
fenstern,windows
spucke,spit
notar,notary
prototyp,prototype
patriot,patriot
cobb,cobb
dringen,penetrate
lapd,lapd
mochtest,liked
feines,fine
zielscheibe,target
gespendet,donated
realisiert,realized
wählerisch,picky
nevada,Nevada
programme,program
ekel,disgust
lisbon,Lisbon
kürbis,pumpkin
historischen,historical
einschätzung,assessment
models,models
draufgehen,die
erhalte,receive
furz,fart
grady,grady
shelley,shelley
teilzunehmen,to participate
bestohlen,robbed
öi,öi
jeremiah,Jeremiah
fayed,fayed
zusammengebrochen,collapsed
lyla,lyla
überwunden,overcome
mithilfe,using
gelder,funds
geldbeutel,wallet
mathilde,Mathilde
ripper,ripper
zufügen,add
shelly,shelly
mamma,mamma
cupcakes,cupcakes
wischen,wipe
wochenenden,weekends
schleicht,sneaks
kopfgeldjäger,bounty hunter
verpfiffen,ratted out
artig,well
jose,jose
spatz,sparrow
zwitschern,chirp
part,part
blah,blah
angesagt,announced
beitreten,join
untersuche,examine
stör,sturgeon
verschluss,closure
kaputten,broken
briefen,briefs
yöu,yöu
imperator,emperor
ag,ag
praktikum,internship
piepst,beeps
freigabe,release
rabatt,discount
anerkannt,recognized
ernster,serious
aquarium,aquarium
lhm,lhm
javier,Javier
wissens,knowledge
bewerbung,application
neuling,newcomer
ausverkauft,sold out
hetero,hetero
neigt,tends
leeres,empty
öffnest,open
auffällig,noticeable
panther,panther
forschungen,research
verbrachten,spent
griffith,Griffith
maine,Maine
tragische,tragic
mäuschen,little mouse
alfie,alfie
verkleiden,disguise
austern,oysters
hurley,Hurley
kupfer,copper
mitgekriegt,overheard
einsatzbereit,ready for use
alexandra,Alexandra
piepsen,beep
ungefährlich,harmless
palm,palm
detektive,detectives
betäuben,numb
abtreten,cede
hã,Ha
bataillon,battalion
dag,day
sicherste,safest
unglückliche,unfortunate
elliott,Elliott
geistige,spiritual
gerard,Gerard
mill,mill
niete,rivet
florrick,florrick
örtliche,local
warschau,Warsaw
maße,mass
beabsichtigt,intended
igor,Igor
unglaubliches,incredible
verschlüsselt,encrypted
griechisch,Greek
chaotisch,chaotic
lumpen,rags
tyson,Tyson
lichts,light
herauf,up
garibaidi,garibaidi
sauberen,clean
sauberes,clean
hmmm,hmmm
dringende,urgent
bodyguard,bodyguard
kapiere,I understand
erdboden,ground
zerstörten,destroyed
akira,Akira
scans,scans
ost,east
kreise,circles
byron,Byron
arschgesicht,assface
kontinent,continent
why,why
kantine,canteen
paßt,fits
caitlin,Caitlin
definieren,define
soul,soul
gunsten,in favor
aufgehen,rise
ai,AI
judas,Judas
forrest,forest
lad,load
dogs,dogs
sybil,sybil
chicken,chicken
spielfeld,playing field
säure,acid
glied,member
lexi,lexi
flora,flora
auftraggeber,client
marschiert,marches
südafrika,South Africa
zufälligerweise,Coincidentally
leih,loan
fliegenden,flying
jüdisch,Jewish
bürde,burden
kracht,crash
wohler,well
fehlfunktion,malfunction
spür,feel
winnetou,Winnetou
beleidigend,offensive
unverändert,unchanged
verleger,publisher
dani,dani
schmied,blacksmith
erdnussbutter,peanut butter
elternteil,parent
benachrichtigt,notified
santos,Santos
dümmste,dumbest
behielt,retained
too,too
trauriges,sad
reparaturen,repairs
indiana,Indiana
hamptons,Hamptons
vorführen,demonstrate
stanford,Stanford
stabilisieren,stabilize
englands,England's
ahoi,ahoy
differenzen,differences
projekte,projects
eagle,eagle
reiz,stimulus
angenehmer,pleasant
irgendwoher,from somewhere
dwight,dwight
gleis,track
helga,Helga
preisen,praise
ave,ave
wasserfall,waterfall
kacken,pooping
vortäuschen,pretend
vatikan,Vatican
ms,ms
chambers,chambers
kontrolliere,check
vorgeschichte,prehistory
recherchiert,researched
cotton,cotton
übungen,exercises
religiös,religious
physisch,physically
elende,miserable
wag,wage
aufstellung,setup
hassan,Hassan
reservierung,reservation
geklingelt,rang
kompromiss,compromise
jedi,Jedi
bear,bear
stützen,support
connecticut,Connecticut
tranken,soak
kommentare,comments
saga,saga
schreiber,writer
heisse,hot
davina,davina
geburtstagsparty,birthday party
astronaut,astronaut
bekloppt,crazy
erwähnten,mentioned
frances,Frances
sensation,sensation
gebührt,due
becker,Becker
slip,slip
katholisch,Catholic
grossartig,great
pure,pure
wörtlich,literally
churchill,Churchill
fässer,barrels
sabotage,sabotage
kohl,cabbage
verteidigungsministerium,Ministry of Defense
wohle,well-being
vögelt,birds
gebiete,areas
reinheit,purity
abt,abbot
murmeln,murmur
rabbit,rabbit
beteiligen,participate
pscht,shh
wahnsinniger,insane
getrennte,separate
flügeln,wings
oberin,superior
gemischt,mixed
antiquitäten,antiques
best,best
auszusagen,to state
schmutziges,dirty
pfanne,pan
entfernten,removed
gefürchtet,feared
religiösen,religious
oklahoma,Oklahoma
rover,rover
fitnessstudio,gym
inspektion,inspection
some,some
geschlechtsverkehr,sexual intercourse
meuterei,mutiny
polizeiarbeit,police work
vorziehen,prefer
flüchtig,volatile
ausgetrickst,tricked
fehlenden,missing
chinatown,Chinatown
vors,before
lautete,read
zitieren,quote
überholt,obsolete
doppelgänger,doppelganger
haustiere,pets
kundin,customer
kaufmann,merchant
inder,in the
marlboro,Marlboro
feel,feel
tau,dew
davids,David's
jackpot,jackpot
gutachten,appraise
unverletzt,uninjured
fran,fran
vermischt,mixed
elfen,elves
stücken,pieces
dell,dell
kanister,canister
anschnallen,buckle up
anzuschließen,to connect
trophäe,trophy
wahrhaft,truly
petra,Petra
ruinierst,ruin
aufgeflogen,exposed
socke,sock
erlöst,redeemed
berührte,touched
franck,franck
zugerichtet,prepared
hinstellen,stand
hola,hola
balance,balance
vicki,Vicki
verkündet,announced
übersee,overseas
kröten,toads
istja,is
hermann,Hermann
aufgeweckt,awake
weitergegeben,passed on
begehren,desire
mad,mad
creme,cream
gefalle,gradient
udo,udo
geschwächt,weakened
augenzeugen,eyewitnesses
lea,lea
steaks,steaks
fehl,missing
dummerchen,silly thing
momenten,moments
oleg,Oleg
hinkommen,getting there
schutzengel,guardian angel
omega,omega
plötzliche,sudden
visitenkarte,business card
geniale,brilliant
zimmern,carpentry
karren,cart
would,would
clive,clive
barcelona,Barcelona
schmetterlinge,butterflies
millimeter,millimeter
snake,snake
mutters,mother's
selbstverteidigung,self-defense
jt,jt
lehnt,lean
abwesend,absent
tournee,tour
flüsse,rivers
grazie,grace
rené,René
sechste,sixth
irrsinn,madness
moralisch,morally
enthüllen,reveal
tamara,Tamara
verwüstet,devastated
vorwarnung,advance warning
umlaufbahn,orbit
weggeschickt,sent away
kriegte,got
abed,evening
buben,boys
krishna,Krishna
alexandre,alexandre
brigitte,brigitte
mondes,worlds
lindsay,Lindsay
wies,pointed
zündung,ignition
zusammenkommen,come together
heirateten,married
vampiren,vampires
ignoriere,ignore
gebadet,bathed
lippe,lip
erstmals,first time
everett,everett
courtney,courtney
obelix,Obelix
cookie,cookie
durchreise,transit
ausgangssperre,curfew
energiequelle,energy source
gemurmel,murmur
university,university
vorladung,summons
hingehe,go there
spionin,spy
erlaubst,allow
hierhergekommen,came here
vollenden,complete
demonstrieren,demonstrate
wachstum,growth
lsd,lsd
examen,exam
gong,gong
sehnen,tendons
hopkins,Hopkins
ungeziefer,vermin
hässlicher,ugly
newman,newman
abfangen,intercept
beschatten,shadow
medizinisch,medical
yan,yan
serge,serge
samstagabend,Saturday evening
deals,deals
erlaubte,permitted
fuss,foot
auszugeben,to spend
beitragen,contribute
takt,tact
docks,docks
hüa,hüa
perversen,perverts
verstorbene,deceased
griechische,Greek
carly,carly
gebrannt,burned
kaufhaus,department store
körperlichen,physical
übergehen,transition
ostküste,east coast
mancher,some
fantastischen,fantastic
babies,babies
begrüßung,greeting
schnellsten,fastest
verbittert,bitter
kräuter,herbs
det,det
rumstehen,standing around
verwandlung,transformation
hanson,Hanson
ausgerastet,went berserk
geordi,Geordi
kostenlose,free
geschütze,protected
trümmer,debris
shorts,shorts
beworben,advertised
ausatmen,exhale
buster,buster
identifizierung,identification
handwerker,handyman
jarvis,jarvis
zustande,a
jonny,jonny
freitagabend,Friday evening
schnellstens,as soon as possible
empfand,felt
tristan,Tristan
brent,Brent
püppchen,doll
londoner,London
vorspielen,play
bedeutungslos,meaningless
scheppern,rattle
che,che
angemessene,appropriate
leila,Leila
tüchtig,efficient
drückte,pressed
aufgewühlt,agitated
ehefrauen,wives
erklingt,sounds
wortes,word
vlad,Vlad
computern,computers
halsband,collar
telefonklingeln,phone ringing
skyler,skyler
lemon,lemon
abfindung,severance pay
buches,book
reißverschluss,zipper
magisch,magical
höhen,heights
bikini,bikini
betrunkene,drunk
weges,way
leuchtturm,lighthouse
geschadet,damaged
frequenzen,frequencies
erfuhren,learned
bauernhof,farm yard
proviant,provisions
geschmiert,lubricated
tanzmusik,dance music
punk,punk
ertränken,drown
grausamen,gruesome
erkunden,explore
brutale,brutal
üblen,evil
sterbt,dies
nino,nino
briggs,Briggs
treib,drive
hoover,hoover
ramón,ramón
case,case
verträgt,tolerates
vers,verse
meinungen,opinions
erhört,he's listening
jüdin,Jewish woman
ausgegraben,dug up
meisterschaft,championship
silbernen,silver
hold,hold
auszuführen,to perform
offenbart,reveals
baltar,baltar
ausgestorben,extinct
ausgehalten,endured
direkter,direct
schlaue,cunning
weilchen,while
sauberer,cleaner
entzündet,inflamed
landest,land
geschäftliches,business
beteiligten,involved
korsak,Korsak
vordertür,in front of the door
evie,evie
brüssel,Brussels
zurückfahren,drive back
demütigung,humiliation
angegeben,specified
rocco,Rocco
kjeld,kjeld
diene,serve
laurent,laurent
zündet,ignites
treuen,loyal
alphonse,alphonse
bestätige,confirm
kripo,criminal investigation department
lebensversicherung,life insurance
vorurteile,prejudices
täubchen,dove
lesben,lesbians
medizinischer,medical
almosen,alms
ehen,marriages
verwundbar,vulnerable
balken,beam
forderte,demanded
ncis,ncis
emilio,Emilio
bündnis,alliance
kluges,clever
harmon,harmony
fremdes,foreign
fund,fund
streite,argue
befugnis,authority
handle,handle
maja,Maja
france,France
alzheimer,Alzheimer
erhofft,hoped
feldwebel,sergeant
veranlassen,cause
einzunehmen,to take
bereust,regrets
genies,geniuses
zusammengeschlagen,beaten up
dolores,dolores
perverse,perverse
spuckt,spits
spare,save
abgefangen,intercepted
verheilt,healed
sinclair,sinclair
durchschauen,see through
erlösen,redeem
saloon,saloon
andrej,andrej
allie,allie
nero,nero
missachtet,ignored
nervenzusammenbruch,nervous breakdown
huhu,hi
abserviert,dismissed
wissenschaftlich,scientific
erweist,proves
hetzen,rush
allmächtigen,almighty
speisekarte,menu
vorenthalten,withheld
freiraum,open space
sabotieren,sabotage
wehr,defense
störst,are you disturbing
bedien,operator
vitamine,vitamins
unterbewusstsein,subconscious
horde,horde
alltag,everyday
run,run
abmarsch,departure
wheeler,Wheeler
sprachlos,speechless
internen,internal
interessanten,interesting
eitelkeit,vanity
stroh,straw
key,key
wißt,do you know
superheld,superhero
remy,Remy
stargate,Stargate
lynch,Lynch
spezialist,specialist
atelier,studio
streber,overachiever
gips,plaster
ankündigung,announcement
betrieben,operated
zahlung,payment
vaughn,vaughn
riegel,bolt
öffnung,opening
steigern,increase
moralischen,moral
überblick,overview
einjagen,to induce
geburtstagsgeschenk,birthday present
trockene,dry
zerstörer,destroyer
anfingen,began
genehmigen,to permit
stattgegeben,granted
küken,chick
verheirateten,married
schilder,signs
wales,Wales
obere,upper
flusses,river
regst,active
geradewegs,straight
vorgang,occurrence
brecht,Brecht
fucking,fucking
individuum,individual
entschlüsseln,decode
weizen,wheat
erfolgreichen,successful
gänzlich,completely
graysons,graysons
melvin,Melvin
verjagt,chased away
alldem,all this
orangen,oranges
leitete,led
eliminiert,eliminated
hochzeitsnacht,wedding night
verteidige,defend
sitte,custom
einzelgänger,loner
kostbare,precious
hung,hung
völliger,complete
kapitulation,surrender
selbstsüchtig,selfish
gefälschte,fake
nacheinander,successively
ser,ser
stanton,Stanton
betrunkenen,drunk
auslassen,omit
espresso,espresso
verkraften,cope
crichton,Crichton
royce,Royce
exklusiv,exclusive
vorgelesen,read aloud
topper,topper
objektiv,lens
koran,Koran
zusteht,is entitled to
league,league
auseinandersetzung,confrontation
gell,Right?
ärztliche,medical
allgemeine,general
gehirnwäsche,brainwashing
darstellung,depiction
eiscreme,ice cream
god,god
gelegenheiten,opportunities
pfleger,caregiver
gleicher,same
family,family
jahrzehnte,decades
burrows,burrows
erlöse,revenues
wiedererkennen,recognize
abende,evenings
unterschiedlichen,different
porträt,portrait
wähler,voter
mdr,MDR
gesichtern,faces
lächerlichen,ridiculous
verfolgst,are you pursuing
flüchtling,refugee
aktenkoffer,briefcase
iowa,Iowa
künstlich,artificially
betreibt,operates
rutscht,slips
schnall,buckle
kauften,bought
devlin,devlin
vin,vin
anrühren,touch
betrunkener,drunk
drecksau,filthy pig
erbsen,peas
homosexuell,homosexual
anwesenden,present
kermit,Kermit
zurechtkommen,cope
bronx,Bronx
zumute,mood
paco,Paco
abfahren,depart
sicherheitschef,security chief
vollbringen,accomplish
leidest,suffer
hello,hello
falken,falcons
verabreicht,administered
französin,French woman
hormone,hormone
eingeweiht,inaugurated
baze,baze
fisk,fish
ehm,umm
inoffiziell,unofficially
markieren,mark
fabriken,factories
rafael,Rafael
trauben,grapes
schlagzeile,headline
wiedergeburt,rebirth
abgesucht,searched
donut,donut
behaupte,claim
beunruhigend,worrying
belohnen,reward
darm,colon
kirchen,churches
bessern,improve
kittel,coat
peking,Beijing
ehrt,honors
bedauerlicherweise,Unfortunately
zimmermann,carpenter
präsentiere,present
fax,fax
gesiegt,won
seltenen,rare
fixiert,fixed
warnte,warned
verbrenne,burn
harley,Harley
verstört,disturbed
herman,herman
abschlagen,break
amateur,amateur
wachs,wax
tablette,tablet
protokolle,protocols
port,port
gefäß,vessel
umfallen,fall over
alarmbereitschaft,alert
heck,tail
überlässt,leaves
fäuste,fists
fahrkarten,tickets
haube,hood
bundesagenten,federal agents
größerer,larger
cheeseburger,cheeseburger
ferdinand,Ferdinand
mystic,mystic
cap,cap
berücksichtigen,take into account
glücksbringer,lucky charm
beidem,in which
cain,Cain
aschenbecher,ashtray
zittert,trembles
biber,beaver
schaum,foam
darsteller,actors
anja,Anja
eiche,oak
wölfen,wolves
seymour,Seymour
aaah,aaah
erfolgreicher,successful
favorit,favorite
sunshine,sunshine
souvenir,souvenir
überreichen,hand over
luisa,Luisa
hergeholt,far-fetched
einwandfrei,flawless
versuchs,Try it
geachtet,respected
tanzte,danced
erlassen,enacted
postkarte,postcard
hauptstraße,main street
geeinigt,agreed
schlampig,sloppy
zarte,delicate
kopfhörer,headphones
ausnahmen,exceptions
widerspruch,contradiction
singapur,Singapore
baronin,baroness
einzumischen,to interfere
formulare,forms
could,could
anwälten,lawyers
anzuschauen,to look at
ansatz,approach
shadow,shadow
gärten,gardens
gemessen,measured
gnädiger,merciful
berliner,Berliner
kühler,cooler
geknallt,banged
our,our
banker,banker
ramirez,ramirez
bereitmachen,prepare
marta,marta
schmilzt,melts
need,need
bildest,form
republikaner,republican
missouri,Missouri
übergang,transition
fingerabdruck,fingerprint
frachtraum,cargo space
cocktails,cocktails
neuerdings,recently
vertauscht,swapped
erleuchtung,enlightenment
sammler,collector
entwerfen,design
palme,palm
schwarzmarkt,black market
windel,diaper
ausgebucht,fully booked
rutschen,slide
schlimmere,worse
seltener,rare
wichtigere,more important
anfühlen,feel
springst,jump
schubsen,push
rene,Rene
tai,tai
zerfetzt,Torn to shreds
bevorsteht,upcoming
britta,Britta
besorgte,concerned
verwende,use
mcqueen,McQueen
dämmerung,dusk
bleistift,pencil
mexikanische,Mexican
montreal,Montreal
fürsorge,care
brummt,hums
befunden,found
salazar,Salazar
bürgermeisters,mayor
strohsack,straw sack
verpackt,packaged
erwähne,mention
susi,susi
christy,Christy
donnelly,donnelly
bündel,bunch
anstarren,stare
kostbar,precious
liebenden,loving
wendung,turn
harlem,Harlem
saures,acidic
botschaften,embassies
stolze,proud
kev,kev
schmieren,lubricate
vermittelt,conveyed
skalpell,scalpel
mächtigste,most powerful
dublin,Dublin
luc,luc
züchten,breed
szenario,scenario
ehrenhaft,honorable
taschengeld,pocket money
attraktive,attractive
miliz,militia
charleston,Charleston
caprica,caprica
esteban,esteban
freigesprochen,acquitted
gerda,Gerda
zelten,camping
stehende,standing
luftwaffe,air force
missionen,missions
rumgemacht,made out
trennten,separated
wertvoller,valuable
florenz,Florence
untertauchen,submerge
amnesie,amnesia
herrlichen,magnificent
widerrede,rebuttal
lise,lise
geringer,less
bescheidenheit,modesty
cutler,cutler
gefordert,required
längere,longer
barton,barton
psychologen,psychologists
then,then
acker,field
handbuch,manual
beweismaterial,evidence
toaster,toaster
effizient,efficient
chico,chico
hadar,hadar
schenkst,you give
strömung,flow
cheerleader,cheerleader
beweismittel,evidence
planänderung,change of plan
liebenswert,lovable
kalb,calf
erschrickt,is startled
gewand,garment
moschee,mosque
lustigen,funny
mikrowelle,microwave
gangs,gangs
denkmal,monument
motiviert,motivated
nachweisen,prove
hinrichten,execute
launisch,moody
ernährung,nutrition
len,len
loft,loft
untereinander,among each other
verfügbaren,available
flüge,flights
ficke,fuck
kennenlernte,met
schwänzen,truancy
cheryl,Cheryl
armselig,pathetic
faule,lazy
dreharbeiten,filming
komplimente,compliments
ying,ying
hip,hip
patterson,Patterson
ghetto,ghetto
gebären,give birth
schwan,swan
kairo,Cairo
verringern,reduce
stellvertretender,deputy
hallen,halls
village,village
ethel,ethel
dranbleiben,Stay tuned
zurückschicken,return
formation,formation
signorina,signorina
beibehalten,retain
paranoia,paranoia
schnüffeln,sniff
sagtet,said
erworben,acquired
zahlreiche,numerous
protestieren,protest
chemo,chemo
raul,Raul
penthouse,penthouse
abgebrannt,burned down
identitäten,identities
durchgefallen,failed
deke,deke
knecht,servant
prozedur,procedure
justizministerium,Ministry of Justice
aushelfen,help out
präsenz,presence
yards,yards
wanderer,walker
schluckt,swallows
klischee,cliché
beeren,berries
repräsentieren,represent
lebensstil,lifestyle
auferstanden,risen
music,music
sake,sake
reinbringen,bring in
aufzuwachen,to wake up
petrus,Peter
zauberspruch,spell
nachthemd,nightgown
brennenden,burning
wurzel,root
whirlpool,whirlpool
auserwählte,selected
arroganz,arrogance
zusammenreißen,pull yourself together
feuers,fire
noble,noble
ersparnisse,savings
mahl,meal
richmond,Richmond
obama,Obama
lagerfeuer,campfire
abgehängt,left behind
ungewöhnlichen,unusual
vorgänger,predecessor
interviewen,interview
omi,omi
skelett,skeleton
geschick,skill
versprachen,promised
hayden,Hayden
corey,corey
hochzeitsgeschenk,wedding gift
breitet,spreads
aufregende,exciting
rekruten,recruits
aufm,on
stolzer,proud
eingeleitet,initiated
untertanen,subjects
meeres,sea
mumie,mummy
durchgang,passage
sichtweite,visibility
simpsons,Simpsons
chinesisches,Chinese
bekennen,confess
verwandelte,transformed
ständige,constant
marjorie,Marjorie
täten,would
cohen,cohen
yin,yin
aktentasche,briefcase
heights,heights
ain,ain
abgeknallt,shot dead
pflücken,pick
festival,festival
visum,visa
bethany,Bethany
beurteilung,assessment
einzudringen,to penetrate
nachvollziehen,comprehend
thorne,thorne
him,him
yoko,yoko
schaufeln,shoveling
smallville,smallville
rivalen,rivals
spülen,wash
provision,commission
siebte,seventh
motivation,motivation
psychologische,psychological
noel,Noel
angsthase,scaredy-cat
befehlshaber,commander
herzstillstand,cardiac arrest
abfinden,settle
entschlossenheit,determination
wahnsinnige,insane
imitiert,imitates
befestigt,attached
betonen,emphasize
gekränkt,offended
tripp,trip
stellungnahme,opinion
besteigen,climb
verachtung,contempt
stottert,stutters
liebende,loving
auferstehen,resurrection
vorsitzenden,chairman
kollektion,collection
musical,musical
theodore,theodore
milan,Milan
historische,historical
nebeneinander,side by side
benennen,name
übernahme,takeover
bankkonto,bank account
shaolin,Shaolin
bürgermeisterin,mayor
blendend,dazzling
asthma,asthma
weicht,yields
angeschrien,screamed at
staatsanwältin,public prosecutor
daleks,daleks
angesteckt,infected
trompete,trumpet
ungerechtigkeit,injustice
bestellte,ordered
kings,kings
verpass,miss
dilemma,dilemma
diskussionen,discussions
körperteile,body parts
plante,planned
salem,Salem
auszusetzen,to suspend
garfield,Garfield
müßt,must
hypnose,hypnosis
lockt,entices
masche,mesh
dimitri,dimitri
automaten,vending machines
atemberaubend,breathtaking
einrichtungen,facilities
hässliches,ugly
gerechten,fair
schnappe,grab
exfrau,ex-wife
säge,saw
unerwartete,unexpected
elite,elite
anzupassen,to adapt
bing,Bing
viertelstunde,quarter of an hour
tantchen,auntie
misshandelt,abused
endstation,final stop
gosse,gutter
einfachste,simplest
schockierend,shocking
rumpf,hull
rauskomme,get out
erlangt,obtained
wechsle,switch
marguerite,marguerite
timothy,Timothy
carver,carver
kämpf,fight
mieze,kitty
artefakt,artifact
umbrachte,killed
unruhen,unrest
bewerben,apply
herausforderungen,challenges
undankbar,ungrateful
merkwürdigen,strange
kriminalität,crime
organisierte,organized
realen,real
angefleht,begged
beta,beta
stempel,rubber stamp
erbitte,request
halblang,medium length
schlapp,limp
fackel,torch
rivers,rivers
samaritan,Samaritan
wackeln,wobble
eingeben,input
sinnvoll,sensible
zar,zar
dinozzo,dinozzo
gepflegt,well-maintained
unterschreibt,signs
jepp,Yep
absitzen,sit
himmlisch,heavenly
befriedigt,satisfied
abstoßend,repulsive
entferne,remove
verbot,prohibition
denny,denny
nachtclub,nightclub
hinzugehen,go there
vergangene,past
widerliche,disgusting
heftige,intense
ursprüngliche,original
zehnmal,ten times
trupp,troop
ernsten,serious
architektur,architecture
stinksauer,furious
tin,tin
ältester,oldest
knox,Knox
festlegen,establish
elch,elk
barmherzigkeit,compassion
krümel,crumbs
vorfälle,incidents
gregor,Gregor
einladungen,invitations
aubrey,Aubrey
leihe,borrow
zeichnet,draws
gesandt,sent
geschoben,pushed
erhöhte,increased
howie,howie
subjekt,subject
bestreiten,deny
jesu,Jesus
gottesdienst,worship
staatliche,state
polieren,polishing
omen,omen
gewaltigen,enormous
träumer,dreamer
bewunderung,admiration
primitiv,primitive
strahlt,radiates
angestarrt,stared at
vanille,vanilla
herrlicher,magnificent
luigi,Luigi
gewisses,certain
massachusetts,Massachusetts
friere,I'm freezing
bmw,BMW
redaktion,editorial staff
schmoren,braise
ringo,ringo
mussen,must
fun,fun
ticken,tick
stämme,tribes
betrügst,cheat
kommunismus,communism
bezahlten,paid
french,French
lorraine,Lorraine
vous,vous
ranzukommen,to get to
lachten,laughed
pazifik,Pacific
very,very
gro,large
brüsten,breasts
verlief,went
ehepaar,couple
geschöpfe,creatures
verhalte,behave
vernachlässigt,neglected
abgekriegt,got hit
viecher,creatures
dragon,dragon
gerechte,fair
andersrum,the other way
cello,cello
peyton,peyton
zeitlang,for a while
betreffen,regarding
eingeklemmt,trapped
verachtet,despised
anzulügen,to lie
durchdringen,penetrate
möpse,pugs
herrlichkeit,glory
blüten,blossoms
wiedergutmachung,reparations
einverständnis,consent
marokko,Morocco
delphine,dolphins
verfehlen,miss
carlton,Carlton
trinker,drinker
geysir,geyser
lieferungen,deliveries
diebin,thief
schiefgehen,go wrong
cover,cover
higgins,Higgins
gewöhn,habit
belegen,prove
baba,baba
krater,crater
olle,old
vergebens,in vain
wahrnehmung,perception
taiwan,Taiwan
nassen,wet
dahlia,dahlia
übertroffen,surpassed
temple,temple
malik,malik
ess,eat
kleinstadt,small town
